Run,Model,Accuracy
253,SVM (RBF),0.9947643979057592
254,SVM (RBF),0.9869109947643979
255,Random Forest,0.9869109947643979
256,SVM (RBF),0.9921465968586387
257,SVM (RBF),0.9895287958115183
258,SVM (RBF),0.9895287958115183
259,Random Forest,0.9738219895287958
260,SVM (RBF),0.9842931937172775
261,SVM (RBF),0.981675392670157
262,Random Forest,0.9790575916230366
263,SVM (RBF),0.9973821989528796
264,SVM (RBF),0.9869109947643979
265,SVM (RBF),0.981675392670157
266,SVM (RBF),0.9869109947643979
267,SVM (RBF),0.9921465968586387
268,SVM (RBF),0.9842931937172775
269,SVM (RBF),0.9842931937172775
270,SVM (RBF),0.9764397905759162
271,Random Forest,0.9869109947643979
272,SVM (RBF),0.9712041884816754
273,SVM (RBF),0.9869109947643979
274,SVM (RBF),0.9790575916230366
275,Random Forest,0.9842931937172775
276,Random Forest,0.9921465968586387
277,SVM (RBF),0.9921465968586387
278,SVM (RBF),0.9921465968586387
279,Random Forest,0.9842931937172775
280,SVM (RBF),0.9895287958115183
281,XGBoost,0.9869109947643979
282,SVM (RBF),0.9869109947643979
283,SVM (RBF),0.9869109947643979
284,SVM (RBF),0.981675392670157
285,SVM (RBF),0.9842931937172775
286,SVM (RBF),0.9764397905759162
287,SVM (RBF),0.9947643979057592
288,SVM (RBF),0.9947643979057592
289,SVM (RBF),0.9842931937172775
290,SVM (RBF),0.9921465968586387
291,Random Forest,0.9790575916230366
292,SVM (RBF),0.9895287958115183
293,SVM (RBF),0.9895287958115183
294,SVM (RBF),0.9895287958115183
295,SVM (RBF),0.9973821989528796
296,SVM (RBF),0.9869109947643979
297,SVM (RBF),0.9895287958115183
298,SVM (RBF),0.981675392670157
299,SVM (RBF),0.9842931937172775
300,SVM (RBF),0.9921465968586387
301,SVM (RBF),0.9921465968586387
302,SVM (RBF),0.981675392670157
303,SVM (RBF),0.9895287958115183
304,SVM (RBF),0.9764397905759162
305,SVM (RBF),0.9869109947643979
306,SVM (RBF),0.9895287958115183
307,SVM (RBF),0.9921465968586387
308,SVM (RBF),0.9869109947643979
309,Random Forest,0.9895287958115183
310,SVM (RBF),0.9869109947643979
311,SVM (RBF),0.981675392670157
312,SVM (RBF),0.9712041884816754
313,SVM (RBF),0.9895287958115183
314,SVM (RBF),0.9869109947643979
315,Random Forest,0.9738219895287958
316,SVM (RBF),0.9921465968586387
317,Random Forest,0.981675392670157
318,SVM (RBF),0.9895287958115183
319,SVM (RBF),0.9947643979057592
320,SVM (RBF),0.981675392670157
321,XGBoost,0.9895287958115183
322,SVM (RBF),0.9764397905759162
323,Random Forest,0.9842931937172775
324,SVM (RBF),0.981675392670157
325,SVM (RBF),0.9842931937172775
326,Random Forest,0.9895287958115183
327,SVM (RBF),0.9895287958115183
328,SVM (RBF),0.9895287958115183
329,SVM (RBF),0.9895287958115183
330,SVM (RBF),0.9895287958115183
331,SVM (RBF),0.9895287958115183
332,SVM (RBF),0.9947643979057592
333,XGBoost,0.9842931937172775
334,Random Forest,0.9895287958115183
335,Random Forest,0.981675392670157
336,SVM (RBF),0.9869109947643979
337,SVM (RBF),0.9973821989528796
338,Random Forest,0.9790575916230366
339,SVM (RBF),0.9895287958115183
340,SVM (RBF),0.981675392670157
341,Random Forest,0.981675392670157
342,SVM (RBF),0.9947643979057592
343,SVM (RBF),0.9921465968586387
344,SVM (RBF),1.0
345,SVM (RBF),0.9895287958115183
346,SVM (RBF),0.9895287958115183
347,Random Forest,0.9869109947643979
348,SVM (RBF),0.9921465968586387
349,SVM (RBF),0.9738219895287958
350,SVM (RBF),0.9921465968586387
351,XGBoost,0.9869109947643979
352,SVM (RBF),0.9790575916230366
353,SVM (RBF),0.9895287958115183
354,Random Forest,0.981675392670157
355,SVM (RBF),0.9895287958115183
356,SVM (RBF),0.9790575916230366
357,SVM (RBF),0.9842931937172775
358,Random Forest,0.9842931937172775
359,SVM (RBF),0.9921465968586387
360,SVM (RBF),0.9895287958115183
361,SVM (RBF),0.9842931937172775
362,XGBoost,0.9712041884816754
363,SVM (RBF),0.9947643979057592
364,Random Forest,0.9790575916230366
365,SVM (RBF),0.9895287958115183
366,SVM (RBF),0.9869109947643979
367,SVM (RBF),0.9790575916230366
368,Random Forest,0.9869109947643979
369,SVM (RBF),0.981675392670157
370,SVM (RBF),0.9973821989528796
371,Random Forest,0.9895287958115183
372,Random Forest,0.9869109947643979
373,Random Forest,0.9869109947643979
374,Random Forest,0.9869109947643979
375,SVM (RBF),0.9842931937172775
376,Random Forest,0.9764397905759162
377,SVM (RBF),0.9842931937172775
378,SVM (RBF),0.9895287958115183
379,SVM (RBF),0.9921465968586387
380,SVM (RBF),0.9895287958115183
381,XGBoost,0.9895287958115183
382,SVM (RBF),0.981675392670157
383,SVM (RBF),0.9921465968586387
384,SVM (RBF),0.9895287958115183
385,SVM (RBF),0.9895287958115183
386,SVM (RBF),0.9869109947643979
387,Random Forest,0.981675392670157
388,SVM (RBF),0.9921465968586387
389,SVM (RBF),0.9869109947643979
390,SVM (RBF),0.981675392670157
391,SVM (RBF),0.981675392670157
392,SVM (RBF),0.9921465968586387
393,SVM (RBF),0.9869109947643979
394,Random Forest,0.9921465968586387
395,SVM (RBF),0.9842931937172775
396,SVM (RBF),0.9895287958115183
397,Random Forest,0.9869109947643979
398,SVM (RBF),0.9947643979057592
399,SVM (RBF),0.9947643979057592
400,SVM (RBF),0.9921465968586387
401,Random Forest,0.9842931937172775
402,SVM (RBF),0.9738219895287958
403,SVM (RBF),0.9895287958115183
404,Random Forest,1.0
405,Random Forest,0.9895287958115183
406,SVM (RBF),0.9921465968586387
407,SVM (RBF),0.9842931937172775
408,SVM (RBF),0.9921465968586387
409,Random Forest,0.981675392670157
410,SVM (RBF),0.9842931937172775
411,SVM (RBF),0.981675392670157
412,Random Forest,0.9842931937172775
413,SVM (RBF),0.9869109947643979
414,Random Forest,0.9790575916230366
415,SVM (RBF),0.9921465968586387
416,SVM (RBF),0.9869109947643979
417,Random Forest,0.9738219895287958
418,SVM (RBF),0.9921465968586387
419,SVM (RBF),0.9921465968586387
420,SVM (RBF),0.9842931937172775
421,SVM (RBF),0.981675392670157
422,SVM (RBF),0.9973821989528796
423,SVM (RBF),0.9921465968586387
424,SVM (RBF),0.9869109947643979
425,SVM (RBF),0.9895287958115183
426,SVM (RBF),0.9869109947643979
427,Random Forest,0.9842931937172775
428,SVM (RBF),0.9790575916230366
429,SVM (RBF),0.9842931937172775
430,SVM (RBF),0.9790575916230366
431,SVM (RBF),0.981675392670157
432,Random Forest,0.9921465968586387
433,Random Forest,0.9895287958115183
434,SVM (RBF),0.981675392670157
435,SVM (RBF),0.9685863874345549
436,SVM (RBF),0.9921465968586387
437,SVM (RBF),0.9842931937172775
438,SVM (RBF),0.9921465968586387
439,SVM (RBF),0.9764397905759162
440,Random Forest,0.9973821989528796
441,XGBoost,0.9842931937172775
442,SVM (RBF),0.9895287958115183
443,SVM (RBF),0.9895287958115183
444,Random Forest,0.9738219895287958
445,SVM (RBF),0.9895287958115183
446,SVM (RBF),0.981675392670157
447,SVM (RBF),0.9921465968586387
448,SVM (RBF),0.9947643979057592
449,SVM (RBF),0.9869109947643979
450,SVM (RBF),0.9842931937172775
451,SVM (RBF),0.9895287958115183
452,SVM (RBF),0.9842931937172775
453,SVM (RBF),0.9764397905759162
454,SVM (RBF),0.9947643979057592
455,Random Forest,0.9842931937172775
456,SVM (RBF),0.9869109947643979
457,SVM (RBF),0.9764397905759162
458,SVM (RBF),0.9869109947643979
459,Random Forest,0.981675392670157
460,SVM (RBF),0.9895287958115183
461,SVM (RBF),0.9738219895287958
462,Random Forest,0.9790575916230366
463,SVM (RBF),0.9895287958115183
464,SVM (RBF),0.9842931937172775
465,SVM (RBF),0.9842931937172775
466,SVM (RBF),0.9790575916230366
467,SVM (RBF),0.9973821989528796
468,SVM (RBF),0.9921465968586387
469,Random Forest,0.9842931937172775
470,Random Forest,0.9921465968586387
471,SVM (RBF),0.981675392670157
472,Random Forest,0.9869109947643979
473,Random Forest,0.9947643979057592
474,SVM (RBF),0.9921465968586387
475,SVM (RBF),0.9947643979057592
476,SVM (RBF),0.9947643979057592
477,SVM (RBF),0.9738219895287958
478,SVM (RBF),0.9973821989528796
479,SVM (RBF),1.0
480,SVM (RBF),0.9921465968586387
481,SVM (RBF),0.9921465968586387
482,Random Forest,0.9947643979057592
483,XGBoost,0.9842931937172775
484,SVM (RBF),0.981675392670157
485,SVM (RBF),0.9921465968586387
486,Random Forest,0.9973821989528796
487,SVM (RBF),0.9947643979057592
488,SVM (RBF),0.9869109947643979
489,SVM (RBF),0.9790575916230366
490,SVM (RBF),0.9842931937172775
491,XGBoost,0.9842931937172775
492,SVM (RBF),0.9921465968586387
493,SVM (RBF),0.9842931937172775
494,Random Forest,0.9869109947643979
495,Random Forest,0.981675392670157
496,SVM (RBF),0.9921465968586387
497,SVM (RBF),0.9947643979057592
498,SVM (RBF),0.9895287958115183
499,SVM (RBF),0.9921465968586387
500,SVM (RBF),0.9869109947643979
